test_id,android_device_id,android_fingerprint,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,isp_name,is_isp,network_operator_name,mcc,mnc,pre_connection_type,post_connection_type,brand,device,hardware,build_id,manufacturer,model,product,cdma_cell_id,gsm_cell_id,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address
4123333929,217655954,"samsung/hero2ltexx/hero2lte:8.0.0/R16NW/G935FXXU2EREM:user/release-keys","2018-08-01 00:01:19","157.49.xxx.xxx",48044,7497,37,"Bangalore","India","IN",12.9833,77.5833,"Bharti Airtel Ltd","India","IN","Karnataka","KA","Bengaluru",13.009,77.637,4.09936,"Jio","1","CellOne | BSNL MOBILE","404","71",15,15,"samsung","hero2lte","samsungexynos8890","R16NW","samsung","SM-G935F","hero2ltexx","","72241",1,"Bengaluru, Karnataka 560001, India","Bengaluru","locality","India","IN","Karnataka","Bangalore Urban","","560084",""
4123333931,197868696,"Xiaomi/santoni/santoni:7.1.2/N2G47H/V9.5.10.0.NAMMIFD:user/release-keys","2018-08-01 00:01:19","203.78.xxx.xxx",1347,1268,95,"Makassar","Indonesia","ID",-5.1477,119.4327,"Hutchison 3 Indonesia UPG","Indonesia","ID","South Sulawesi","SN","Makassar",-5.160,119.448,1.42303,"PT. Excelcomindo Pratama","1","TELKOMSEL","510","10",15,15,"Xiaomi","santoni","qcom","N2G47H","Xiaomi","Redmi 4X","santoni","","79378694",1,"Makassar, Makassar City, South Sulawesi, Indonesia","Makassar","locality","Indonesia","ID","South Sulawesi","Makassar City","","90231",""
4123333932,216883463,"samsung/j7maxlteins/j7maxlte:7.0/NRD90M/G615FXXU2ARF2:user/release-keys","2018-08-01 00:01:19","47.29.xxx.xxx",36772,5904,80,"Patna","India","IN",25.6139,85.1354,"Max-tech media & communications pvt ltd","India","IN","Bihar","BR","Patna",25.627,85.033,6.44142,"Jio","1","Jio 4G","405","856",15,15,"samsung","j7maxlte","mt6757","NRD90M","samsung","SM-G615F","j7maxlteins","","1110289",1,"Danapur, Bihar, India","Danapur","locality","India","IN","Bihar","Patna","","801503",""
4123333934,217576385,"samsung/heroltexx/herolte:8.0.0/R16NW/G930FXXU2ERG2:user/release-keys","2018-08-01 00:01:19","213.55.xxx.xxx",101942,6870,15,"Lausanne","Switzerland","CH",46.5167,6.6333,"AlpineDC SA","Switzerland","CH","Vaud","VD","Bavois",46.686,6.562,12.2046,"Salt Mobile SA","1","Salt","228","3",15,15,"samsung","herolte","samsungexynos8890","R16NW","samsung","SM-G930F","heroltexx","","4453122",1,"Bavois, Switzerland","Bavois","locality","Switzerland","CH","Vaud","Jura-Nord vaudois District","","1372",""
4123333935,217518567,"Xiaomi/riva/riva:7.1.2/N2G47H/V9.5.6.0.NCKMIFA:user/release-keys","2018-08-01 00:01:19","182.1.xxx.xxx",31116,23957,23,"Surabaya","Indonesia","ID",-7.2667,112.7333,"PT. Telekomunikasi Indonesia","Indonesia","ID","East Java","JI","Nganjuk",-7.593,111.892,61.907,"Telkomsel","1","TELKOMSEL","510","10",15,15,"Xiaomi","riva","qcom","N2G47H","Xiaomi","Redmi 5A","riva","","56595989",1,"Nganjuk, Nganjuk Sub-District, Nganjuk Regency, East Java, Indonesia","Nganjuk","locality","Indonesia","ID","East Java","Nganjuk Regency","Nganjuk Sub-District","64411",""
4123333937,60886615,"Sony/D2303/D2303:4.3/18.0.C.1.13/8nv_bw:user/release-keys","2018-08-01 00:01:19","223.24.xxx.xxx",8860,2645,32,"Bangkok","Thailand","TH",13.7500,100.4833,"Shama Thunder","Thailand","TH","Bangkok","10","Bangkok",13.707,100.383,7.34462,"True Internet","1","TRUE 3G+","520","4",17,17,"Sony","D2303","qcom","18.0.C.1.13","Sony","D2303","D2303","","131174008",1,"Bangkok, Thailand","Bangkok","locality","Thailand","TH","","","","10160",""
4123333938,182379873,"Xiaomi/santoni/santoni:7.1.2/N2G47H/V9.5.10.0.NAMMIFD:user/release-keys","2018-08-01 00:01:19","139.167.xxx.xxx",765,58,46,"Faridabad","India","IN",28.4211,77.3078,"Praction Networks","India","IN","Uttar Pradesh","UP","Atrauli",28.034,78.278,64.8859,"Jio","1","Jio 4G","405","870",15,15,"Xiaomi","santoni","qcom","N2G47H","Xiaomi","Redmi 4","santoni","","742693",1,"Atrauli, Uttar Pradesh 202280, India","Atrauli","locality","India","IN","Uttar Pradesh","Aligarh","","202280",""
4123333939,195485208,"Xiaomi/rolex/rolex:7.1.2/N2G47H/V9.2.6.0.NCCMIEK:user/release-keys","2018-08-01 00:01:19","182.1.xxx.xxx",20986,5942,29,"Surabaya","Indonesia","ID",-7.2667,112.7333,"PT. Telekomunikasi Indonesia","Indonesia","ID","East Java","JI","Surabaya",-7.279,112.767,2.50808,"Telkomsel","1","TELKOMSEL","510","10",15,15,"Xiaomi","rolex","qcom","OPM6.171019.030.H1","Xiaomi","Redmi 5A","rolex","","251931682",1,"Surabaya, Surabaya City, East Java, Indonesia","Surabaya","locality","Indonesia","ID","East Java","Surabaya City","","60285",""
4123333945,63677198,"Sony/D2303/D2303:4.3/18.0.C.1.13/8nv_bw:user/release-keys","2018-08-01 00:01:19","223.24.xxx.xxx",26752,1875,50,"Bangkok","Thailand","TH",13.7500,100.4833,"Shama Thunder","Thailand","TH","Nakhon Si Thammarat","80","Nakhon Si Thammarat",8.398,99.976,371.77,"True Internet","1","TH 3G+","520","0",17,17,"Sony","D2303","qcom","18.0.C.1.13","Sony","D2303","D2303","","39518318",1,"Nakhon Si Thammarat, Mueang Nakhon Si Thammarat District, Nakhon Si Thammarat, Thailand","Nakhon Si Thammarat","locality","Thailand","TH","Nakhon Si Thammarat","Mueang Nakhon Si Thammarat District","","80000",""
4123333949,187450893,"asus/WW_Phone/ASUS_A007:6.0.1/MMB29P/13.1407.1804.64-20180612:user/release-keys","2018-08-01 00:01:19","140.213.xxx.xxx",6901,14646,148,"Bandung","Indonesia","ID",-6.9167,107.6000,"PT Telekomunikasi Indonesia","Indonesia","ID","West Java","JB","Bandengan",-6.780,108.627,71.2082,"XL Axiata","1","XL Axiata","510","11",15,15,"asus","ASUS_A007","qcom","MMB29P","asus","ASUS_A007","WW_Phone","","131109126",1,"Kanci, Astanajapura, Cirebon, West Java, Indonesia","Kanci","administrative_area_level_4","Indonesia","ID","West Java","Cirebon","Astanajapura, Kanci","45181",""
4123333955,213648387,"Infinix/Infinix-X552-A1/INFINIX-X552:6.0/MRA58K/1470234834:user/release-keys","2018-08-01 00:01:20","123.136.xxx.xxx",2704,3175,76,"Kuala Lumpur","Malaysia","MY",3.1357,101.6880,"U Mobile","Malaysia","MY","Selangor","10","Petaling Jaya",3.107,101.630,4.44009,"U Mobile Sdn Bhd","1","U MOBILE","502","18",17,17,"Infinix","INFINIX-X552","mt6795","MRA58K","Infinix","Infinix-X552","Infinix-X552-A1","","20480379",2,"Petaling Jaya, Selangor, Malaysia","Petaling Jaya","locality","Malaysia","MY","Selangor","Petaling","","46100",""
